Iteration 1, loss = 3.253088
Iteration 2, loss = 3.235798
Iteration 3, loss = 3.199404
Iteration 4, loss = 3.120007
Iteration 5, loss = 2.972732
Iteration 6, loss = 2.767906
Iteration 7, loss = 2.547323
Iteration 8, loss = 2.340755
Iteration 9, loss = 2.159290
Iteration 10, loss = 2.005602
Iteration 11, loss = 1.877599
Iteration 12, loss = 1.772499
Iteration 13, loss = 1.686143
Iteration 14, loss = 1.612730
Iteration 15, loss = 1.550218
Iteration 16, loss = 1.495664
Iteration 17, loss = 1.447679
Iteration 18, loss = 1.405911
Iteration 19, loss = 1.367290
Iteration 20, loss = 1.332738
Iteration 21, loss = 1.300633
Iteration 22, loss = 1.272559
Iteration 23, loss = 1.246127
Iteration 24, loss = 1.222443
Iteration 25, loss = 1.200850
Iteration 26, loss = 1.180479
Iteration 27, loss = 1.160850
Iteration 28, loss = 1.145141
Iteration 29, loss = 1.129338
Iteration 30, loss = 1.115065
Iteration 31, loss = 1.102253
Iteration 32, loss = 1.090086
Iteration 33, loss = 1.079023
Iteration 34, loss = 1.067481
Iteration 35, loss = 1.057216
Iteration 36, loss = 1.047559
Iteration 37, loss = 1.038021
Iteration 38, loss = 1.029476
Iteration 39, loss = 1.020869
Iteration 40, loss = 1.012843
Iteration 41, loss = 1.006265
Iteration 42, loss = 0.997650
Iteration 43, loss = 0.991689
Iteration 44, loss = 0.984159
Iteration 45, loss = 0.978317
Iteration 46, loss = 0.972104
Iteration 47, loss = 0.966270
Iteration 48, loss = 0.959309
Iteration 49, loss = 0.954742
Iteration 50, loss = 0.949209
Iteration 51, loss = 0.943648
Iteration 52, loss = 0.938668
Iteration 53, loss = 0.932228
Iteration 54, loss = 0.927562
Iteration 55, loss = 0.922559
Iteration 56, loss = 0.918015
Iteration 57, loss = 0.913076
Iteration 58, loss = 0.907796
Iteration 59, loss = 0.903460
Iteration 60, loss = 0.899603
Iteration 61, loss = 0.895197
Iteration 62, loss = 0.890916
Iteration 63, loss = 0.886934
Iteration 64, loss = 0.882223
Iteration 65, loss = 0.877825
Iteration 66, loss = 0.873705
Iteration 67, loss = 0.869155
Iteration 68, loss = 0.866473
Iteration 69, loss = 0.862234
Iteration 70, loss = 0.858499
Iteration 71, loss = 0.855523
Iteration 72, loss = 0.850264
Iteration 73, loss = 0.848284
Iteration 74, loss = 0.843977
Iteration 75, loss = 0.840914
Iteration 76, loss = 0.837315
Iteration 77, loss = 0.834214
Iteration 78, loss = 0.830045
Iteration 79, loss = 0.827477
Iteration 80, loss = 0.823903
Iteration 81, loss = 0.820488
Iteration 82, loss = 0.816674
Iteration 83, loss = 0.814054
Iteration 84, loss = 0.809493
Iteration 85, loss = 0.806830
Iteration 86, loss = 0.803340
Iteration 87, loss = 0.800751
Iteration 88, loss = 0.798180
Iteration 89, loss = 0.794083
Iteration 90, loss = 0.790462
Iteration 91, loss = 0.788094
Iteration 92, loss = 0.785676
Iteration 93, loss = 0.781978
Iteration 94, loss = 0.778409
Iteration 95, loss = 0.775841
Iteration 96, loss = 0.773271
Iteration 97, loss = 0.769814
Iteration 98, loss = 0.767840
Iteration 99, loss = 0.764628
Iteration 100, loss = 0.760916
Iteration 101, loss = 0.758265
Iteration 102, loss = 0.755837
Iteration 103, loss = 0.752546
Iteration 104, loss = 0.749533
Iteration 105, loss = 0.746691
Iteration 106, loss = 0.743423
Iteration 107, loss = 0.740808
Iteration 108, loss = 0.737633
Iteration 109, loss = 0.735073
Iteration 110, loss = 0.731224
Iteration 111, loss = 0.729599
Iteration 112, loss = 0.726306
Iteration 113, loss = 0.722941
Iteration 114, loss = 0.721228
Iteration 115, loss = 0.717921
Iteration 116, loss = 0.715536
Iteration 117, loss = 0.713276
Iteration 118, loss = 0.710049
Iteration 119, loss = 0.706615
Iteration 120, loss = 0.704866
Iteration 121, loss = 0.701689
